                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0431,                 6.2221,                 1.0991,                      0,                      0,                      0,                      0,                   4.04,                    inf,                   3.99,                 0.0775,                 0.0025,                 0.0025
                      2,                  1.831,                  3.952,                 1.0324,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.054075,              0.0050745,              0.0050745
                      3,                 1.7888,                 3.2808,                 1.0176,                0.00645,                0.00064,                0.00328,                0.00262,                 1.8933,                    inf,                  1.844,               0.030623,              0.0076231,              0.0076231
                      4,                 1.7888,                 3.1486,                 1.0149,                0.03829,                0.14416,                0.03372,                0.01973,                 2.1221,                    inf,                 1.3325,              0.0098502,              0.0098502,              0.0098502
                      5,                 1.7625,                 2.7915,                 1.0264,                0.25791,                0.11413,                0.06082,                0.03309,                 2.0321,                    inf,                 1.2428,              0.0098502,              0.0098502,              0.0098502
                      6,                 1.6959,                  2.649,                0.99559,                0.13163,                0.18096,                0.07005,                0.03961,                 1.7245,                 14.764,                 1.0566,              0.0098002,              0.0098002,              0.0098002
                      7,                 1.6343,                  2.502,                0.98679,                0.37093,                0.08171,                0.06708,                0.03676,                  1.714,                 19.492,                 1.0532,              0.0097503,              0.0097503,              0.0097503
                      8,                 1.6425,                 2.4565,                0.97923,                0.46298,                0.13728,                0.10532,                0.06053,                 1.7368,                 6.8565,                 1.0034,              0.0097003,              0.0097003,              0.0097003
                      9,                 1.5812,                 2.3617,                0.96519,                0.40181,                 0.2007,                0.13694,                0.08295,                 1.5611,                 4.5056,                0.98292,              0.0096504,              0.0096504,              0.0096504
                     10,                 1.5609,                 2.2153,                0.95023,                0.38863,                 0.1951,                 0.1626,                0.10025,                 1.5532,                 2.6825,                0.97106,              0.0096004,              0.0096004,              0.0096004
                     11,                 1.5818,                 2.2587,                0.96567,                0.31811,                0.24819,                0.16582,                0.09824,                 1.5187,                 3.0766,                0.96937,              0.0095505,              0.0095505,              0.0095505
                     12,                 1.5536,                 2.1642,                0.95486,                0.37034,                0.25451,                0.19283,                0.11924,                 1.4884,                 2.4094,                0.95776,              0.0095005,              0.0095005,              0.0095005
                     13,                 1.5279,                 2.1134,                0.96154,                0.44632,                0.24169,                0.22231,                0.13557,                 1.4592,                 2.4154,                0.95228,              0.0094506,              0.0094506,              0.0094506
                     14,                  1.517,                 2.0742,                0.94446,                0.43854,                0.21737,                0.19566,                0.12394,                 1.4806,                 2.6345,                0.95605,              0.0094006,              0.0094006,              0.0094006
                     15,                 1.4961,                 2.0281,                0.93861,                0.37258,                 0.2171,                0.18618,                0.11485,                 1.4854,                 2.4853,                0.95975,              0.0093507,              0.0093507,              0.0093507
                     16,                 1.4668,                  1.969,                0.93831,                0.34888,                0.24522,                0.20161,                 0.1284,                 1.4294,                 16.526,                0.95448,              0.0093007,              0.0093007,              0.0093007
                     17,                 1.5076,                 1.9604,                0.93912,                0.33446,                0.26589,                 0.2192,                0.13901,                 1.4494,                 2.6639,                0.94817,              0.0092508,              0.0092508,              0.0092508
